,image_path,psnr,baseline
0,baboon.png,25.50162124633789,24.863988876342773
1,baby.png,37.191856384277344,37.068824768066406
2,barbara.png,28.491436004638672,28.005020141601562
3,bird.png,39.05947494506836,36.834739685058594
4,butterfly.png,32.000404357910156,27.4377498626709
5,coastguard.png,29.462604522705078,29.122488021850586
6,face.png,35.37999725341797,34.85458755493164
7,flowers.png,32.2579231262207,30.373085021972656
8,foreman.png,35.969478607177734,34.12275695800781
9,head.png,35.396087646484375,34.88290786743164
10,lenna.png,36.07880401611328,34.71183776855469
11,man.png,30.756898880004883,29.252731323242188
12,monarch.png,36.66633224487305,32.95137023925781
13,pepper.png,36.12503433227539,34.994178771972656
14,woman.png,34.47611618041992,32.152809143066406
15,TOTAL_AVG,33.65427131652832,32.10860506693522
